<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
XSP.TO,20231006,44.74,45.69,44.6,45.53,561487
XST.TO,20231006,84.46,84.88,84.44,84.83,9136
XSTB.TO,20231006,18.58,18.58,18.57,18.57,5730
XSTH.TO,20231006,36.1,36.11,36.06,36.11,2200
XSTP.TO,20231006,40,40.02,39.99,40,2540
XSU.TO,20231006,33.6,34.29,33.43,34.13,123233
XSUS.TO,20231006,30.85,31.22,30.75,31.19,2701
XTC.TO,20231006,7.33,7.36,7.28,7.34,2978
XTD.TO,20231006,2.87,2.89,2.76,2.89,9901
XTD.PR.A.TO,20231006,9.48,9.48,9.48,9.48,500
XTG.TO,20231006,0.83,0.83,0.82,0.82,5500
XTLH.TO,20231006,32.03,32.6,32.03,32.36,27927
XTLT.TO,20231006,32.91,33.11,32.91,32.95,995608
XTR.TO,20231006,9.74,9.8,9.74,9.8,11447
XTRA.TO,20231006,0.68,0.71,0.68,0.71,45145
XUH.TO,20231006,35.48,36.1,35.44,36.05,1043
XUS.TO,20231006,72.03,73.36,72,73.23,110410
XUS.U.TO,20231006,53.44,54.48,53.2,54.3,22743
XUSR.TO,20231006,60.37,61.49,60.37,61.3,2400
XUT.TO,20231006,23.92,24.11,23.56,24.1,180583
XUU.TO,20231006,42.98,43.67,42.91,43.57,11871
XVLU.TO,20231006,23,23,23,23,2126
XWD.TO,20231006,70.12,71.11,69.93,70.99,20250
Y.TO,20231006,11.62,11.62,11.58,11.58,203
YCM.TO,20231006,0.6,0.6,0.6,0.6,5505
YGR.TO,20231006,1.66,1.69,1.64,1.68,176046
YRB.TO,20231006,0.04,0.04,0.04,0.04,1006
ZACE.TO,20231006,32.03,32.28,32.03,32.28,315
ZAG.TO,20231006,12.75,12.81,12.74,12.81,95189
ZBAL.TO,20231006,32.78,33.04,32.72,33.04,2102
ZBAL.T.TO,20231006,26.13,26.15,26.13,26.15,204
ZBBB.TO,20231006,26.16,26.16,26.16,26.16,500
ZBI.TO,20231006,26.93,26.93,26.93,26.93,100
ZBK.TO,20231006,20.93,21.36,20.93,21.25,8251
ZCB.TO,20231006,43,43.05,43,43.05,300
ZCDB.TO,20231006,27.58,27.58,27.58,27.58,200
ZCH.TO,20231006,14.31,14.31,14.17,14.2,16850
ZCLN.TO,20231006,14.45,14.79,14.45,14.79,3822
ZCM.TO,20231006,13.83,13.87,13.82,13.84,8758
ZCN.TO,20231006,25.53,25.8,25.3,25.76,71964
ZCS.TO,20231006,12.89,12.89,12.87,12.88,20086
ZDB.TO,20231006,13.68,13.74,13.68,13.74,23869
ZDH.TO,20231006,24,24.3,24,24.3,2318
ZDI.TO,20231006,20.91,21.18,20.91,21.14,1106
ZDJ.TO,20231006,51.7,52.4,51.6,52.3,5975
ZDM.TO,20231006,25.31,25.55,25.31,25.53,9869
ZDV.TO,20231006,17.8,17.94,17.62,17.93,23055
ZDY.TO,20231006,35.01,35.53,35.01,35.47,2447
ZDY.U.TO,20231006,26.26,26.26,26.26,26.26,1001
ZEA.TO,20231006,19.44,19.72,19.44,19.69,30195
ZEB.TO,20231006,30.77,31,30.34,30.94,1782604
ZEF.TO,20231006,11.39,11.42,11.39,11.42,380
ZEM.TO,20231006,18.44,18.78,18.44,18.77,4290
ZEO.TO,20231006,61.65,62.45,61.29,62.45,10089
ZEQ.TO,20231006,27.3,27.5,27.26,27.5,5400
ZEQT.TO,20231006,38.86,39.36,38.85,39.27,488
ZESG.TO,20231006,30.57,30.68,30.52,30.68,1280
ZFC.TO,20231006,38.69,38.69,38.69,38.69,306
ZFH.TO,20231006,13.82,13.92,13.82,13.9,12300
ZFL.TO,20231006,11.66,11.79,11.64,11.77,115990
ZFM.TO,20231006,13.42,13.47,13.41,13.47,46600
ZFN.TO,20231006,39.23,39.32,39.23,39.32,600
ZFS.TO,20231006,13.08,13.09,13.08,13.09,29300
ZGB.TO,20231006,42.04,42.2,42.04,42.2,225
ZGD.TO,20231006,63.57,63.95,63.57,63.95,366
ZGI.TO,20231006,37.38,38.17,37.28,38.17,2161
ZGQ.TO,20231006,50.82,51.61,50.82,51.53,4518
ZGRO.TO,20231006,35.63,36.11,35.63,36.06,4493
ZGSB.TO,20231006,24.53,24.53,24.53,24.53,100
ZHP.TO,20231006,16.24,16.24,16.24,16.24,100
ZHU.TO,20231006,39.55,39.57,39.52,39.52,2400
ZHY.TO,20231006,10.4,10.48,10.38,10.44,5175
ZIC.TO,20231006,16.26,16.28,16.26,16.28,200
ZID.TO,20231006,40.4,40.49,40.39,40.44,4961
ZIN.TO,20231006,34.2,34.33,34.2,34.26,526
ZJG.TO,20231006,59.9,59.9,59.9,59.9,321
ZJK.TO,20231006,16.91,16.95,16.91,16.91,2111
ZJPN.TO,20231006,29.71,29.71,29.71,29.71,401
ZJPN.F.TO,20231006,37.3,37.42,37.3,37.42,227
ZLB.TO,20231006,38.9,39.18,38.63,39.13,112032
ZLC.TO,20231006,13.55,13.71,13.53,13.71,53614
ZLD.TO,20231006,24.09,24.09,24.09,24.09,150
ZLE.TO,20231006,16.86,16.86,16.84,16.84,2000
ZLH.TO,20231006,28.59,29.08,28.59,29.08,1142
ZLI.TO,20231006,22.24,22.24,22.24,22.24,2200
ZLU.TO,20231006,43.89,44.3,43.64,44.2,3652
ZMI.TO,20231006,15.05,15.1,14.98,15.08,9513
ZMMK.TO,20231006,49.95,49.95,49.93,49.94,137105
ZMP.TO,20231006,12.7,12.73,12.7,12.71,1159
ZMU.TO,20231006,11.83,11.83,11.75,11.81,7422
ZNQ.TO,20231006,64.8,66.31,64.8,66.31,2460
ZNQ.U.TO,20231006,32.81,32.81,32.72,32.72,203
ZPAY.TO,20231006,29.65,29.81,29.65,29.81,772
ZPAY.F.TO,20231006,27.39,27.71,27.39,27.68,800
ZPH.TO,20231006,14.32,14.39,14.32,14.39,320
ZPL.TO,20231006,11.18,11.29,11.17,11.29,5831
ZPR.TO,20231006,8.45,8.46,8.43,8.46,62346
ZPS.TO,20231006,11.71,11.71,11.71,11.71,1101
ZPW.TO,20231006,15.07,15.07,15.07,15.07,100
ZQQ.TO,20231006,103.55,106.48,103.29,106.15,70342
ZRE.TO,20231006,19.09,19.31,18.67,19.23,35826
ZRR.TO,20231006,13.2,13.29,13.17,13.29,3600
ZSDB.TO,20231006,28.34,28.34,28.34,28.34,2935
ZSP.TO,20231006,63.39,64.53,63.28,64.34,196972
ZSP.U.TO,20231006,46.22,47.26,46.18,47.14,12968
ZST.TO,20231006,48.65,48.68,48.63,48.63,7907
ZST.L.TO,20231006,56.6,56.64,56.6,56.64,5786
ZSU.TO,20231006,12.81,12.81,12.81,12.81,131
ZTIP.TO,20231006,30.82,30.82,30.7,30.72,10000
ZTIP.F.TO,20231006,27.97,27.98,27.97,27.98,878
ZUB.TO,20231006,19.4,19.85,19.38,19.69,45507
ZUD.TO,20231006,24.4,24.84,24.4,24.8,600
ZUE.TO,20231006,59.3,60.45,59.29,60.28,14072
ZUH.TO,20231006,63.92,64.81,63.85,64.65,4699
ZUP.TO,20231006,18.25,18.25,18.24,18.24,908
ZUQ.TO,20231006,62.08,62.71,62.08,62.62,5357
ZUQ.F.TO,20231006,39.34,39.34,39.34,39.34,1500
ZUS.U.TO,20231006,46.63,46.63,46.63,46.63,1338
ZUT.TO,20231006,18.98,19.06,18.74,19.06,13968
ZVC.TO,20231006,24.75,24.75,24.75,24.75,104
ZVU.TO,20231006,24.67,24.67,24.67,24.67,400
ZWA.TO,20231006,22.9,23.19,22.9,23.19,13680
ZWB.TO,20231006,16.23,16.28,15.95,16.26,245233
ZWB.U.TO,20231006,20.04,20.04,20.04,20.04,1300
ZWC.TO,20231006,15.8,15.87,15.6,15.85,50247
ZWE.TO,20231006,19.08,19.25,19.02,19.21,10138
ZWEN.TO,20231006,28.34,28.78,28.34,28.67,718
ZWG.TO,20231006,27.23,27.42,27.07,27.35,1781
ZWH.TO,20231006,20.87,21.1,20.79,21.03,8687
ZWH.U.TO,20231006,20.85,21.2,20.85,21.15,700
ZWHC.TO,20231006,28.22,28.22,28.22,28.22,100
ZWK.TO,20231006,16.54,16.74,16.35,16.63,23004
ZWP.TO,20231006,16.35,16.57,16.35,16.51,5952
ZWQT.TO,20231006,14.69,14.69,14.69,14.69,300
ZWS.TO,20231006,18.27,18.43,18.19,18.43,1538
ZWT.TO,20231006,33.41,33.72,33.41,33.72,9350
ZWU.TO,20231006,9.52,9.61,9.36,9.6,250515
ZZZ.TO,20231006,22.13,22.44,21.83,22.4,81383
ZZZD.TO,20231006,27.37,27.37,27.34,27.34,3600
