CCEPu;03/01/24;67,00;67,00;65,76;65,76;1086293
AAPLu;04/01/24;182,15;183,0872;180,88;181,91;71983568
ABNBu;04/01/24;132,86;137,0344;132,50;133,72;4049783
ADBEu;04/01/24;570,99;572,91;566,66;567,05;2090000
ADIu;04/01/24;181,90;186,89;181,805;186,07;3923432
ADPu;04/01/24;233,99;235,33;233,41;233,66;2145379
ADSKu;04/01/24;227,19;229,57;225,45;228,92;1550000
AEPu;04/01/24;83,33;83,98;83,06;83,39;3154700
AMATu;04/01/24;149,80;152,00;148,75;149,31;6196064
AMDu;04/01/24;134,30;137,70;134,00;136,01;58610288
AMGNu;04/01/24;301,50;305,09;298,59;303,17;2805959
AMZNu;04/01/24;145,59;147,38;144,05;144,57;55950800
ANSSu;04/01/24;343,58;349,33;343,57;344,13;869900
ASMLu;04/01/24;698,00;709,51;697,51;700,29;731500
AVGOu;04/01/24;1057,96;1069,50;1047,37;1049,01;2564600
BIIBu;04/01/24;264,58;264,58;259,61;260,28;949000
BKNGu;04/01/24;3400,00;3448,67;3384,10;3419,94;176600
BKRu;04/01/24;34,12;34,20;33,19;33,25;7345200
CDNSu;04/01/24;257,11;259,57;255,62;255,92;1080000
CDWu;04/01/24;216,62;216,9868;214,99;215,08;910051
CHTRu;04/01/24;385,58;386,04;372,47;375,75;1300000
CMCSAu;04/01/24;43,27;43,35;42,49;42,63;17804802
COSTu;04/01/24;642,08;649,90;640,56;648,35;2164685
CPRTu;04/01/24;46,72;47,16;46,63;46,64;3840000
CSCOu;04/01/24;50,44;50,51;49,99;50,08;18134120
CSXu;04/01/24;34,59;34,975;34,50;34,72;9238315
CTASu;04/01/24;144,875;146,85;144,875;145,595;1153328
CTSHu;04/01/24;73,78;74,29;73,51;73,59;2100900
DASHu;04/01/24;93,58;94,975;93,33;93,90;2229968
DLTRu;04/01/24;137,00;137,75;135,85;136,18;2100000
DXCMu;04/01/24;120,03;122,80;119,86;121,83;1946200
EAu;04/01/24;135,88;136,59;135,37;135,97;1240000
EXCu;04/01/24;36,09;36,32;35,97;36,02;5443600
FANGu;04/01/24;161,07;161,62;155,52;155,82;1810000
FASTu;04/01/24;62,08;62,48;61,90;62,19;2976882
FTNTu;04/01/24;58,00;58,725;57,7783;58,39;5362873
GEHCu;04/01/24;76,00;76,95;75,85;76,57;2292332
GILDu;04/01/24;83,79;84,95;83,43;84,48;5880000
GOOGu;04/01/24;139,85;140,635;138,01;138,04;18241400
GOOGLu;04/01/24;138,42;139,16;136,35;136,39;27137736
HONu;04/01/24;204,12;206,22;204,03;204,90;2542000
IDXXu;04/01/24;530,45;540,89;530,45;538,50;375890
ILMNu;04/01/24;128,76;132,34;128,13;131,43;1586600
INTCu;04/01/24;45,715;47,16;45,24;46,87;47766328
INTUu;04/01/24;590,61;594,51;585,81;586,82;950380
ISRGu;04/01/24;320,43;326,41;320,26;323,27;1471700
KHCu;04/01/24;37,97;38,15;37,69;37,78;7750000
KLACu;04/01/24;546,39;554,90;544,81;546,44;859900
LINu;04/01/24;407,64;411,65;407,58;408,59;1513341
LRCXu;04/01/24;72,578;74,4897;72,325;73,108;10323790
LULUu;04/01/24;496,90;502,00;495,01;496,00;1170000
MARu;04/01/24;219,61;222,41;218,88;220,02;1240000
MCHPu;04/01/24;82,07;84,23;81,81;83,40;7079300
MDBu;04/01/24;362,57;369,155;360,10;362,41;2052900
MDLZu;04/01/24;73,09;73,86;73,04;73,28;5190000
MELIu;04/01/24;1489,52;1543,07;1483,64;1519,38;436355
METAu;04/01/24;344,50;348,1499;343,3987;347,12;11661542
MNSTu;04/01/24;57,59;58,585;57,53;57,71;4983519
MRNAu;04/01/24;109,01;109,41;105,51;108,66;6260000
MRVLu;04/01/24;56,03;59,06;55,63;58,07;17350000
MSFTu;04/01/24;370,67;373,10;367,17;367,94;20876900
MUu;04/01/24;83,47;84,26;82,61;82,71;19125200
NFLXu;04/01/24;472,98;480,7393;466,53;474,67;3609169
NVDAu;04/01/24;47,767;48,50;47,508;47,998;305886000
NXPIu;04/01/24;204,30;210,54;204,12;207,76;3800000
ODFLu;04/01/24;384,88;390,18;380,03;389,26;711560
ONu;04/01/24;75,85;77,99;74,80;76,20;10530000
ORLYu;04/01/24;945,50;951,27;935,08;935,80;344910
PANWu;04/01/24;286,00;287,48;282,90;283,30;2538900
PAYXu;04/01/24;117,42;118,46;117,15;117,85;1525400
PCARu;04/01/24;94,42;94,73;92,6925;93,78;3392639
PEPu;04/01/24;171,61;173,53;170,58;171,47;6283223
PYPLu;04/01/24;58,02;59,06;57,44;58,45;16580000
QCOMu;04/01/24;135,44;137,33;134,94;136,17;6769000
REGNu;04/01/24;917,78;924,89;909,21;912,17;557380
ROPu;04/01/24;526,00;530,95;523,51;524,17;601000
ROSTu;04/01/24;134,77;136,09;134,62;135,27;2171800
SBUXu;04/01/24;93,10;94,58;93,00;93,55;7020000
SIRIu;04/01/24;5,40;5,47;5,29;5,43;8870000
SNPSu;04/01/24;489,75;494,39;488,43;490,18;876490
TMUSu;04/01/24;162,85;163,57;162,18;162,30;4068700
TSLAu;04/01/24;239,25;242,70;237,73;237,93;102629280
TTDu;04/01/24;68,75;69,165;68,07;68,40;4217011
TTWOu;04/01/24;157,96;160,52;157,82;158,86;1238900
TXNu;04/01/24;162,50;165,71;162,40;164,47;6445700
VRSKu;04/01/24;237,52;239,13;237,27;237,95;707750
VRTXu;04/01/24;411,11;418,71;411,11;416,15;1550000
WBAu;04/01/24;24,19;24,30;22,58;24,26;60555300
WDAYu;04/01/24;267,55;268,57;264,10;267,08;1320000
XELu;04/01/24;63,62;64,25;63,22;63,73;3129300
ZSu;04/01/24;210,33;212,45;209,01;210,33;1095900
TEAMu;04/01/24;220,29;224,37;218,85;222,82;1370000
