B0Z.SI	China Fishery Group Limited
B26.SI	Ban Leong Technologies Limited
B28.SI	Bonvests Holdings Ltd
B49.SI	World Precision Machinery Ltd
B58.SI	Banyan Tree Holdings Limited
B61.SI	Bukit Sembawang Estates Ltd
B69.SI	Broadway Industrial Group Ltd
B73.SI	Global Investments Limited
B9S.SI	Cosmosteel Holdings Limited
BAC.SI	Jacks International Limited
BAI.SI	S I2i Limited
BAZ.SI	Lion Asiapac Ltd
BBP.SI	Hor Kew Corporation Limited
BBW.SI	Azeus Systems Holdings Ltd.
BCD.SI	China Yuanbang Prop Hldgs Ltd
BCV.SI	Qian Hu Corporation Limited
BCY.SI	Powermatic Data Systems Ltd
BCZ.SI	Travelite Holdings Ltd.
BDA.SI	Pne Industries Ltd
BDR.SI	Willas-array Elec (hldgs) Ltd
BDU.SI	Federal Int(2000) Ltd
BDX.SI	Gsh Corporation Limited
BEC.SI	Brc Asia Limited
BEH.SI	China International Hldgs Ltd
BEI.SI	Lht Holdings Limited
BEW.SI	Jb Foods Limited
BEZ.SI	Beng Kuang Marine Limited
BFI.SI	Tiong Seng Holdings Limited
BFK.SI	Pharmesis International Ltd.
BFT.SI	Fabchem China Limited
BFU.SI	Tye Soon Ltd
BGO.SI	Universal Resource & Svcs Ltd
BHD.SI	China Mining International Ltd
BHK.SI	Siic Environment Holdings Ltd.
BHU.SI	Sutl Enterprise Limited
BIP.SI	Vibrant Group Limited
BIX.SI	Ellipsiz Ltd
BJD.SI	Vibropower Corporation Limited
BJGS.SI	Na16100h 460301
BJHS.SI	Nx16100f 260601
BJIS.SI	Nz16100x 360801
BJV.SI	Yamada Green Resources Limited
BJZ.SI	Koda Ltd
BKA.SI	Sin Heng Heavy Machinery Ltd
BKK.SI	Luxking Group Holdings Limited
BKV.SI	Dukang Distillers Hldgs Ltd
BKW.SI	Datapulse Technology Limited
BKX.SI	Yongmao Holdings Limited
BKZ.SI	Suntar Eco-city Limited
BLH.SI	Hai Leck Holdings Limited
BLR.SI	Darco Water Technologies Ltd
BLS.SI	Hotung Investment Hldgs Ltd
BLU.SI	Grp Ltd
BLZ.SI	Advanced Holdings Ltd.
BMGU.SI	Bhg Retail Reit
BMT.SI	New Silkroutes Group Limited
BN2.SI	Valuetronics Holdings Limited
BN4.SI	Keppel Corporation Limited
BNE.SI	Kencana Agri Limited
BPF.SI	Yhi International Limited
BQC.SI	Xpress Holdings Ltd
BQD.SI	Envictus International Hldgltd
BQF.SI	Xmh Holdings Ltd.
BQM.SI	Tiong Woon Corp Holding Ltd
BQN.SI	Bh Global Corporation Limited
BQP.SI	Southern Packaging Group Ltd
BRD.SI	Sapphire Corporation Limited
BRS.SI	Usp Group Limited
BS6.SI	Yangzijiang Shipbldg Hldgs Ltd
BSL.SI	Raffles Medical Group Ltd
BTE.SI	Bund Center Investment Ltd
BTF.SI	Debao Property Development Ltd
BTG.SI	Hg Metal Manufacturing Ltd
BTJ.SI	A-sonic Aerospace Limited
BTM.SI	Penguin International Limited
BTOU.SI	Manulife Us Reit
BTP.SI	Baker Technology Limited
BTWZ.SI	Hyflux S$500m6%perpcapsec
BTX.SI	Anchun International Hldgs Ltd
BTY.SI	Full Apex (holdings) Limited
BUOU.SI	Frasers Logistics & Ind Trust
BVA.SI	Top Glove Corporation Bhd
BVQ.SI	Procurri Corporation Limited
BWCU.SI	Ec World Reit
BWM.SI	China Jinjiang Env Hldg Co Ltd
BXE.SI	Cdw Holding Limited
BYI.SI	Phillip Sgx Apac Div Reit Etf
BYJ.SI	Phillip Sgx Apacdiv Reit Etfs$
C04.SI	Casa Holdings Limited
C05.SI	Chemical Industries (f.e.) Ltd
C06.SI	Csc Holdings Ltd
C07.SI	Jardine Cycle & Carriage Ltd
C09.SI	City Developments Limited
C13.SI	Ch Offshore Ltd
C2PU.SI	Parkwaylife Reit
C33.SI	Chuan Hup Holdings Limited
C38U.SI	Capitamall Trust
C41.SI	Cortina Holdings Limited
C52.SI	Comfortdelgro Corporation Ltd
C6L.SI	Singapore Airlines Ltd
C70.SI	City Developments Ltd Nccps
C76.SI	Creative Technology Ltd
C8R.SI	Jiutian Chemical Group Limited
C9Q.SI	Sinostar Pec Holdings Limited
CC3.SI	Starhub Ltd
CDVZ.SI	Krisenergy S$139.464mz240131
CEDU.SI	Dasin Retail Trust
CFA.SI	Nikkoam-stc Asia_xj Reit Etf
CGN.SI	Best World International Ltd
CHJ.SI	Uni-asia Group Limited
CHZ.SI	Hrnetgroup Limited
CIN.SI	Courage Marine Group Limited
CJLU.SI	Netlink Nbn Trust
CJN.SI	British & Malayan Hldg Limited
CLN.SI	Apac Realty Limited
CLR.SI	Lion-phillip S-reit Etf
CMGS.SI	Nx18100a 280501
CMOU.SI	Keppel-kbs Us Reit
CNE.SI	Mindchamps Preschool Limited
COI.SI	Nikkoam-stc Asia_xj Reit Us$
CRPU.SI	Sasseur Reit
CTO.SI	Hong Lai Huat Group Limited
CUEW.SI	S&p 5xlongsg250228
CUGW.SI	Sti 2xlongsg250529
CUJW.SI	Djia 5xlongsg250911
CUMW.SI	Djia 5xshortsg250911a
CUNW.SI	Nasdaq 7xshortsg241016
CUPW.SI	Nasdaq 7xlongsg241016
CUQW.SI	Djia 7xshortsg241016
CURW.SI	Djia 7xlongsg241016
CUTW.SI	S&p 7xshortsg241218
CUXW.SI	Nasdaq 7xlongsg241126
CUZW.SI	Djia 3xshortsg241205us$
CVEW.SI	Sti 5xlongsg250529
CVFW.SI	Djia 5xshortsg250911
CVIW.SI	Hsi 7xshortsg241218
CVJW.SI	Simsci 5xlongsg260226
CVMW.SI	Hsi 5xlongsg261029
CVRW.SI	Hscei 7xshortsg251029
CVYW.SI	Hstech 7xshortsg251029
CWBU.SI	Cromwell Reit Eur
CWCU.SI	Cromwell Reit Sgd
CWHW.SI	Sti 7xlongsg250529
CWIW.SI	Djia 5xlongsg250911a
CWLW.SI	Hsi 7xlongsg241030
CWMW.SI	Hstech 5xshortsg241218
CWPW.SI	Simsci 5xshortsg260226
CWRW.SI	Hstech 5xlongsg250904
CWUW.SI	Hstech 5xlongsg261029
CWXW.SI	Hsi 7xshortsg251029
CXBW.SI	S&p 5xshortsg250228
CXGW.SI	Sti 2xshortsg250529
CXIW.SI	S&p 7xshortsg241016
CXKW.SI	Hsi 5xshortsg241030
CXLW.SI	Simsci 7xlongsg260226a
CXPW.SI	Hsi 7xlongsg251029
CXS.SI	Uobam Pingan Chinext S$
CXU.SI	Uobam Pingan Chinext Us$
CXXW.SI	Nasdaq 7xshortsg261029
CXZW.SI	Simsci 7xshortsg250716
CY6U.SI	Ascendas India Trust
CYAW.SI	S&p 5xlongsg250228a
CYB.SI	Icbc Csop Cgb Etf Us$d
CYC.SI	Icbc Csop Cgb Etf S$
CYGW.SI	Sti 5xshortsg250529
CYIW.SI	S&p 7xlongsg241016
CYMW.SI	Hstech 5xlongsg241218
CYNW.SI	Simsci 7xlongsg260226
CYPW.SI	Hstech 7xlongsg250304
CYSW.SI	Hstech 7xlongsg251029
CYW.SI	Tricklestar
CYX.SI	Icbc Csop Cgb Etf Us$a
CYZW.SI	Simsci 7xshortsg261029
CZEW.SI	S&p 5xshortsg250228a
CZGW.SI	Sti 7xshortsg250529
CZIW.SI	Hscei 7xlongsg241114
CZLW.SI	Hsi 5xlongsg250416
CZNW.SI	Nasdaq 7xshortsg260401
CZOW.SI	Hscei 7xlongsg250304
CZRW.SI	Hsi 5xshortsg261029
CZVW.SI	Djia 7xshortsg261029
CZZW.SI	Nasdaq 7xshortsg241218
